Year,YearH,Quarter,Measure,CoverType,Value
2010,2010H1,201003,Gross Earned Premium,Comprehensive,170438983.59859
2010,2010H1,201006,Gross Earned Premium,Comprehensive,170734921.295649
2010,2010H2,201009,Gross Earned Premium,Comprehensive,173141814.980892
2010,2010H2,201012,Gross Earned Premium,Comprehensive,172933020.549679
2011,2011H1,201103,Gross Earned Premium,Comprehensive,170819650.785592
2011,2011H1,201106,Gross Earned Premium,Comprehensive,172686149.327541
2011,2011H2,201109,Gross Earned Premium,Comprehensive,174206656.895159
2011,2011H2,201112,Gross Earned Premium,Comprehensive,174536538.940285
2012,2012H1,201203,Gross Earned Premium,Comprehensive,171806679.09093001
2012,2012H1,201206,Gross Earned Premium,Comprehensive,170103001.575386
2012,2012H2,201209,Gross Earned Premium,Comprehensive,169463368.234527
2012,2012H2,201212,Gross Earned Premium,Comprehensive,166714297.90676
2013,2013H1,201303,Gross Earned Premium,Comprehensive,163377597.930344
2013,2013H1,201306,Gross Earned Premium,Comprehensive,162370646.689457
2013,2013H2,201309,Gross Earned Premium,Comprehensive,163548501.070298
2013,2013H2,201312,Gross Earned Premium,Comprehensive,163612341.958709
2014,2014H1,201403,Gross Earned Premium,Comprehensive,160832755.416857
2014,2014H1,201406,Gross Earned Premium,Comprehensive,164568990.900067
2014,2014H2,201409,Gross Earned Premium,Comprehensive,169464257.038003
2014,2014H2,201412,Gross Earned Premium,Comprehensive,170892274.084231
2015,2015H1,201503,Gross Earned Premium,Comprehensive,169026212.780278
2015,2015H1,201506,Gross Earned Premium,Comprehensive,174515585.202751
2015,2015H2,201509,Gross Earned Premium,Comprehensive,181810108.29617
2015,2015H2,201512,Gross Earned Premium,Comprehensive,189793841.239816
2016,2016H1,201603,Gross Earned Premium,Comprehensive,193778909.239288
2016,2016H1,201606,Gross Earned Premium,Comprehensive,205342146.856415
2016,2016H2,201609,Gross Earned Premium,Comprehensive,221651076.722581
2016,2016H2,201612,Gross Earned Premium,Comprehensive,235443132.496831
2017,2017H1,201703,Gross Earned Premium,Comprehensive,240706221.308458
2017,2017H1,201706,Gross Earned Premium,Comprehensive,253220032.796172
2017,2017H2,201709,Gross Earned Premium,Comprehensive,261747121.462244
2017,2017H2,201712,Gross Earned Premium,Comprehensive,264535229.539563
2018,2018H1,201803,Gross Earned Premium,Comprehensive,261007319.52162302
2018,2018H1,201806,Gross Earned Premium,Comprehensive,263025090.041118
2018,2018H2,201809,Gross Earned Premium,Comprehensive,264926683.98259002
2018,2018H2,201812,Gross Earned Premium,Comprehensive,263872373.488069
2019,2019H1,201903,Gross Earned Premium,Comprehensive,260044136.75716498
2019,2019H1,201906,Gross Earned Premium,Comprehensive,262215603.256249
2019,2019H2,201909,Gross Earned Premium,Comprehensive,267409270.737171
2019,2019H2,201912,Gross Earned Premium,Comprehensive,266275680.25357798
2020,2020H1,202003,Gross Earned Premium,Comprehensive,268489968.653008
2020,2020H1,202006,Gross Earned Premium,Comprehensive,238189584.745531
2020,2020H2,202009,Gross Earned Premium,Comprehensive,271176372.875042
2020,2020H2,202012,Gross Earned Premium,Comprehensive,273863753.27156603
